year,pollutant,lbs_per_year,tons_per_year,kg_per_year
2014,NOx,2151526,1075.8,975915.0
2014,SO2,621703,310.9,281999.5
2014,HCl,147404,73.7,66861.3
2014,CO,131905,66.0,59831.1
2014,PM,49801,24.9,22589.3
2014,PM2.5,46174,23.1,20944.2
2014,Formaldehyde,3966,2.0,1798.9
2014,VOC,6600,3.3,2993.7
2014,HF,482,0.2,218.6
2014,Lead,294,0.1,133.4
2014,Mercury,53,0.0,24.0
2014,Nickel,17,0.0,7.7
2014,Chromium_VI,4,0.0,1.8
2017,NOx,2202482,1101.2,999028.2
2017,SO2,616154,308.1,279482.5
2017,HCl,156805,78.4,71125.5
2017,CO,149817,74.9,67955.8
2017,PM,57999,29.0,26307.9
2017,PM2.5,54521,27.3,24730.3
2017,Formaldehyde,4022,2.0,1824.3
2017,VOC,5398,2.7,2448.5
2017,HF,1019,0.5,462.2
2017,Lead,247,0.1,112.0
2017,Mercury,29,0.0,13.2
2017,Nickel,92,0.0,41.7
2017,Chromium_VI,2,0.0,0.9
